studytime,traveltime,failures,freetime,absences,G1,G2,G3
2,2,0,3,6,5,6,6
2,1,0,3,4,5,5,6
2,1,3,3,10,7,8,10
3,1,0,2,2,15,14,15
2,1,0,3,4,6,10,10
2,1,0,4,10,15,15,15
2,1,0,4,0,12,12,11
2,2,0,1,6,6,5,6
2,1,0,2,0,16,18,19
2,1,0,5,0,14,15,15
2,1,0,3,0,10,8,9
3,3,0,2,4,10,12,12
1,1,0,3,2,14,14,14
2,2,0,4,2,10,10,11
3,1,0,5,0,14,16,16
1,1,0,4,4,14,14,14
3,1,0,2,6,13,14,14
2,3,0,3,4,8,10,10
1,1,3,5,16,6,5,5
1,1,0,1,4,8,10,10
2,1,0,4,0,13,14,15
1,1,0,4,0,12,15,15
2,1,0,5,2,15,15,16
2,2,0,4,0,13,13,12
3,1,0,3,2,10,9,8
1,1,2,2,14,6,9,8
1,1,0,2,2,12,12,11
1,1,0,2,4,15,16,15
2,1,0,3,4,11,11,11
2,1,0,4,16,10,12,11
2,1,0,4,0,9,11,12
2,2,0,3,0,17,16,17
2,1,0,5,0,17,16,16
2,1,0,3,0,8,10,12
1,1,0,4,0,12,14,15
1,2,0,5,0,8,7,6
3,1,0,4,2,15,16,18
3,2,0,4,7,15,16,15
3,1,0,3,2,12,12,11
1,1,0,3,8,14,13,13
2,2,1,3,25,7,10,11
1,1,0,4,8,12,12,12
2,1,0,3,2,19,18,18
1,1,0,4,0,8,8,11
2,2,1,3,14,10,10,9
2,1,0,2,8,8,8,6
2,1,0,3,12,11,12,11
4,1,0,2,4,19,19,20
2,1,0,3,2,15,15,14
2,1,1,4,2,7,7,7
2,3,0,3,2,12,13,13
2,1,0,3,2,11,13,13
1,2,1,5,6,11,11,10
1,1,0,3,0,8,10,11
1,1,0,3,6,10,13,13
2,1,0,3,8,8,9,10
2,1,0,3,0,14,15,15
2,1,0,2,4,14,15,15
2,1,0,3,2,9,10,9
2,1,0,2,2,15,16,16
2,1,0,4,6,10,11,11
1,4,0,5,6,10,8,11
2,1,0,4,4,8,10,9
3,1,0,4,2,10,9,9
2,1,0,4,0,10,10,10
2,3,0,4,2,16,15,15
4,1,0,3,4,13,13,12
4,1,0,3,4,7,7,6
2,2,0,1,2,8,9,8
4,2,0,4,12,16,16,16
4,2,0,3,0,13,15,15
4,1,0,3,0,10,10,10
2,1,2,3,2,8,6,5
1,1,0,3,2,12,12,14
2,1,0,3,54,11,12,11
2,1,0,3,6,9,9,10
4,2,0,4,8,11,11,10
4,1,0,2,0,11,11,11
1,2,3,5,2,8,8,10
2,1,0,4,12,5,5,5
1,1,0,2,2,10,12,12
3,1,0,3,4,11,10,11
2,1,0,4,10,7,6,6
2,2,0,3,4,15,15,15
2,1,0,3,2,9,10,10
2,2,2,4,6,7,9,8
2,1,0,3,4,8,7,6
3,1,0,3,4,13,14,14
2,2,1,4,12,11,10,10
2,1,0,1,18,8,6,7
3,1,0,3,0,7,7,8
1,1,0,5,4,16,17,18
2,1,0,3,4,7,6,6
2,2,0,3,0,11,10,10
4,1,0,3,6,11,13,14
4,2,1,1,2,7,10,10
1,2,0,3,2,11,15,15
2,1,0,3,2,8,9,10
1,1,0,3,6,11,14,14
3,1,0,3,0,7,9,8
1,1,0,5,14,7,7,5
3,1,0,4,0,16,17,17
1,1,0,3,4,10,13,14
2,2,0,3,26,7,6,6
2,1,0,4,0,16,18,18
4,1,0,3,10,10,11,11
4,1,0,1,8,7,8,8
3,1,0,3,2,16,18,18
4,4,0,3,6,10,13,13
3,1,0,4,4,14,15,16
1,1,0,5,6,18,19,19
3,1,1,1,0,7,10,10
2,1,1,1,6,10,13,13
1,1,0,5,10,18,19,19
2,1,0,4,8,9,9,9
2,1,0,4,2,15,15,16
2,2,0,4,2,11,13,14
1,2,0,4,0,13,14,13
2,3,1,2,20,9,7,8
1,1,0,4,6,14,13,13
2,1,0,2,2,16,15,15
4,1,0,5,6,16,14,15
2,2,0,2,2,13,13,13
1,1,0,4,18,14,11,13
2,1,0,4,0,8,7,8
1,1,0,5,0,13,13,12
2,1,0,3,0,7,10,11
2,1,3,4,2,7,8,9
1,1,2,3,0,7,4,0
1,1,0,5,8,18,18,18
3,2,2,2,0,12,0,0
1,3,0,3,0,8,0,0
1,1,0,4,12,10,13,12
1,1,0,2,16,12,11,11
2,4,0,3,0,9,0,0
3,1,0,3,0,11,0,0
2,3,0,4,0,10,0,0
1,2,2,3,0,4,0,0
2,1,1,4,0,14,12,12
1,2,0,3,0,16,16,15
4,2,0,2,0,7,9,0
1,2,2,3,8,9,9,9
3,1,0,2,2,9,11,11
1,1,0,4,2,14,14,13
1,1,3,4,0,5,0,0
2,1,0,4,0,8,11,11
2,1,3,3,0,6,7,0
2,1,0,3,2,10,11,11
1,1,0,3,0,7,6,0
1,4,3,5,0,8,9,10
1,1,3,3,0,6,5,0
1,1,1,4,6,12,13,14
3,2,2,2,8,10,10,10
1,1,3,5,0,5,0,0
1,1,0,2,0,11,11,12
2,1,0,4,2,11,8,8
1,1,0,2,8,16,12,13
1,3,3,2,6,9,8,10
1,3,0,2,2,17,15,15
2,1,1,5,4,10,12,12
1,2,2,3,0,7,6,0
2,2,2,4,6,5,9,7
1,2,1,4,0,7,0,0
1,1,0,3,2,10,10,10
2,4,3,3,0,5,8,7
1,2,1,5,16,12,11,12
2,1,0,3,4,10,10,10
2,1,0,2,0,14,15,16
2,1,0,1,0,6,7,0
2,1,0,4,0,14,14,14
1,3,2,4,0,6,5,0
2,2,0,3,2,13,15,16
2,1,0,4,0,13,11,10
2,1,3,3,0,8,7,0
2,2,0,4,4,10,11,9
2,2,0,4,4,10,9,9
2,2,0,4,2,13,13,11
2,1,0,3,4,6,5,6
1,1,0,3,10,10,8,9
2,1,0,2,4,10,10,11
2,1,0,4,10,9,8,8
2,1,0,2,2,12,13,12
2,1,0,4,0,16,17,17
2,1,0,3,56,9,9,8
2,1,0,2,14,12,13,12
2,1,0,3,12,12,12,11
1,1,0,3,2,11,12,11
2,1,0,2,0,15,15,15
2,1,0,3,6,8,7,9
2,1,0,1,4,8,9,10
2,1,0,3,10,11,12,13
2,1,0,3,0,8,8,9
2,2,0,4,12,7,8,8
1,1,0,3,8,8,9,10
1,2,0,3,0,13,14,14
2,1,0,3,0,14,15,15
1,1,0,2,4,17,15,16
1,3,0,3,8,9,9,10
1,2,1,2,24,18,18,18
2,1,0,5,0,9,9,10
2,1,0,3,2,16,16,16
2,1,0,4,6,8,10,10
2,1,0,4,4,9,9,10
1,1,0,3,18,7,6,6
4,2,0,3,6,10,10,11
3,1,1,4,28,10,9,9
2,1,3,3,5,7,7,7
2,1,0,3,10,11,12,13
1,2,0,3,6,9,9,10
3,2,0,4,6,7,7,7
4,1,0,3,10,8,8,8
2,1,0,3,13,12,12,13
2,1,0,3,0,12,13,14
2,1,1,4,15,6,7,8
1,1,0,2,12,8,10,10
2,2,0,4,2,14,15,15
2,1,2,4,22,6,6,4
2,1,1,2,13,6,6,8
1,2,0,3,3,7,7,8
