PassengerId,Survived,Pclass,Sex(male=1 and female=0),Age,Fare
1,0,3,1,22,7.25
2,1,1,0,38,71.2833
3,1,3,0,26,7.925
4,1,1,0,35,53.1
5,0,3,1,35,8.05
6,0,3,1,,8.4583
7,0,1,1,54,51.8625
8,0,3,1,2,21.075
9,1,3,0,27,11.1333
10,1,2,0,14,30.0708
11,1,3,0,4,16.7
12,1,1,0,58,26.55
13,0,3,1,20,8.05
14,0,3,1,39,31.275
15,0,3,0,14,7.8542
16,1,2,0,55,16
17,0,3,1,2,29.125
18,1,2,1,,13
19,0,3,0,31,18
20,1,3,0,,7.225
21,0,2,1,35,26
22,1,2,1,34,13
23,1,3,0,15,8.0292
24,1,1,1,28,35.5
25,0,3,0,8,21.075
26,1,3,0,38,31.3875
27,0,3,1,,7.225
28,0,1,1,19,263
29,1,3,0,,7.8792
30,0,3,1,,7.8958
31,0,1,1,40,27.7208
32,1,1,0,,146.5208
33,1,3,0,,7.75
34,0,2,1,66,10.5
35,0,1,1,28,82.1708
36,0,1,1,42,52
37,1,3,1,,7.2292
38,0,3,1,21,8.05
39,0,3,0,18,18
40,1,3,0,14,11.2417
41,0,3,0,40,9.475
42,0,2,0,27,21
43,0,3,1,,7.8958
44,1,2,0,3,41.5792
45,1,3,0,19,7.8792
46,0,3,1,,8.05
47,0,3,1,,15.5
48,1,3,0,,7.75
49,0,3,1,,21.6792
50,0,3,0,18,17.8
51,0,3,1,7,39.6875
52,0,3,1,21,7.8
53,1,1,0,49,76.7292
54,1,2,0,29,26
55,0,1,1,65,61.9792
56,1,1,1,,35.5
57,1,2,0,21,10.5
58,0,3,1,28.5,7.2292
59,1,2,0,5,27.75
60,0,3,1,11,46.9
61,0,3,1,22,7.2292
62,1,1,0,38,80
63,0,1,1,45,83.475
64,0,3,1,4,27.9
65,0,1,1,,27.7208
66,1,3,1,,15.2458
67,1,2,0,29,10.5
68,0,3,1,19,8.1583
69,1,3,0,17,7.925
70,0,3,1,26,8.6625
71,0,2,1,32,10.5
72,0,3,0,16,46.9
73,0,2,1,21,73.5
74,0,3,1,26,14.4542
75,1,3,1,32,56.4958
76,0,3,1,25,7.65
77,0,3,1,,7.8958
78,0,3,1,,8.05
79,1,2,1,0.83,29
80,1,3,0,30,12.475
81,0,3,1,22,9
82,1,3,1,29,9.5
83,1,3,0,,7.7875
84,0,1,1,28,47.1
85,1,2,0,17,10.5
86,1,3,0,33,15.85
87,0,3,1,16,34.375
88,0,3,1,,8.05
89,1,1,0,23,263
90,0,3,1,24,8.05
91,0,3,1,29,8.05
92,0,3,1,20,7.8542
93,0,1,1,46,61.175
94,0,3,1,26,20.575
95,0,3,1,59,7.25
96,0,3,1,,8.05
97,0,1,1,71,34.6542
98,1,1,1,23,63.3583
99,1,2,0,34,23
100,0,2,1,34,26
101,0,3,0,28,7.8958
102,0,3,1,,7.8958
103,0,1,1,21,77.2875
104,0,3,1,33,8.6542
105,0,3,1,37,7.925
106,0,3,1,28,7.8958
107,1,3,0,21,7.65
108,1,3,1,,7.775
109,0,3,1,38,7.8958
110,1,3,0,,24.15
111,0,1,1,47,52
112,0,3,0,14.5,14.4542
113,0,3,1,22,8.05
114,0,3,0,20,9.825
115,0,3,0,17,14.4583
116,0,3,1,21,7.925
117,0,3,1,70.5,7.75
118,0,2,1,29,21
119,0,1,1,24,247.5208
120,0,3,0,2,31.275
121,0,2,1,21,73.5
122,0,3,1,,8.05
123,0,2,1,32.5,30.0708
124,1,2,0,32.5,13
125,0,1,1,54,77.2875
126,1,3,1,12,11.2417
127,0,3,1,,7.75
128,1,3,1,24,7.1417
129,1,3,0,,22.3583
130,0,3,1,45,6.975
131,0,3,1,33,7.8958
132,0,3,1,20,7.05
133,0,3,0,47,14.5
134,1,2,0,29,26
135,0,2,1,25,13
136,0,2,1,23,15.0458
137,1,1,0,19,26.2833
138,0,1,1,37,53.1
139,0,3,1,16,9.2167
140,0,1,1,24,79.2
141,0,3,0,,15.2458
142,1,3,0,22,7.75
143,1,3,0,24,15.85
144,0,3,1,19,6.75
145,0,2,1,18,11.5
146,0,2,1,19,36.75
147,1,3,1,27,7.7958
148,0,3,0,9,34.375
149,0,2,1,36.5,26
150,0,2,1,42,13
151,0,2,1,51,12.525
152,1,1,0,22,66.6
153,0,3,1,55.5,8.05
154,0,3,1,40.5,14.5
155,0,3,1,,7.3125
156,0,1,1,51,61.3792
157,1,3,0,16,7.7333
158,0,3,1,30,8.05
159,0,3,1,,8.6625
160,0,3,1,,69.55
161,0,3,1,44,16.1
162,1,2,0,40,15.75
163,0,3,1,26,7.775
164,0,3,1,17,8.6625
165,0,3,1,1,39.6875
166,1,3,1,9,20.525
167,1,1,0,,55
168,0,3,0,45,27.9
169,0,1,1,,25.925
170,0,3,1,28,56.4958
171,0,1,1,61,33.5
172,0,3,1,4,29.125
173,1,3,0,1,11.1333
174,0,3,1,21,7.925
175,0,1,1,56,30.6958
176,0,3,1,18,7.8542
177,0,3,1,,25.4667
178,0,1,0,50,28.7125
179,0,2,1,30,13
180,0,3,1,36,0
181,0,3,0,,69.55
182,0,2,1,,15.05
183,0,3,1,9,31.3875
184,1,2,1,1,39
185,1,3,0,4,22.025
186,0,1,1,,50
187,1,3,0,,15.5
188,1,1,1,45,26.55
189,0,3,1,40,15.5
190,0,3,1,36,7.8958
191,1,2,0,32,13
192,0,2,1,19,13
193,1,3,0,19,7.8542
194,1,2,1,3,26
195,1,1,0,44,27.7208
196,1,1,0,58,146.5208
197,0,3,1,,7.75
198,0,3,1,42,8.4042
199,1,3,0,,7.75
200,0,2,0,24,13
201,0,3,1,28,9.5
202,0,3,1,,69.55
203,0,3,1,34,6.4958
204,0,3,1,45.5,7.225
205,1,3,1,18,8.05
206,0,3,0,2,10.4625
207,0,3,1,32,15.85
208,1,3,1,26,18.7875
209,1,3,0,16,7.75
210,1,1,1,40,31
211,0,3,1,24,7.05
212,1,2,0,35,21
213,0,3,1,22,7.25
214,0,2,1,30,13
215,0,3,1,,7.75
216,1,1,0,31,113.275
217,1,3,0,27,7.925
218,0,2,1,42,27
219,1,1,0,32,76.2917
220,0,2,1,30,10.5
221,1,3,1,16,8.05
222,0,2,1,27,13
223,0,3,1,51,8.05
224,0,3,1,,7.8958
225,1,1,1,38,90
226,0,3,1,22,9.35
227,1,2,1,19,10.5
228,0,3,1,20.5,7.25
229,0,2,1,18,13
230,0,3,0,,25.4667
231,1,1,0,35,83.475
232,0,3,1,29,7.775
233,0,2,1,59,13.5
234,1,3,0,5,31.3875
235,0,2,1,24,10.5
236,0,3,0,,7.55
237,0,2,1,44,26
238,1,2,0,8,26.25
239,0,2,1,19,10.5
240,0,2,1,33,12.275
241,0,3,0,,14.4542
242,1,3,0,,15.5
243,0,2,1,29,10.5
244,0,3,1,22,7.125
245,0,3,1,30,7.225
246,0,1,1,44,90
247,0,3,0,25,7.775
248,1,2,0,24,14.5
249,1,1,1,37,52.5542
250,0,2,1,54,26
251,0,3,1,,7.25
252,0,3,0,29,10.4625
253,0,1,1,62,26.55
254,0,3,1,30,16.1
255,0,3,0,41,20.2125
256,1,3,0,29,15.2458
257,1,1,0,,79.2
258,1,1,0,30,86.5
259,1,1,0,35,512.3292
260,1,2,0,50,26
261,0,3,1,,7.75
262,1,3,1,3,31.3875
263,0,1,1,52,79.65
